In JSON,Response ID,S1,S3,S5,S6,S8,S10,P4,P8,P9,C3,C7,Sm3,Sc8,Sc9
84,R_1OB0LxI7A9lN4v1,"['DependencyTracker', 'Provenance', 'Security', 'Versioning']","['Name', 'Version', 'Author']",,,['ClarifiedStandards'],,,['BadAnswer'],['FastReleases'],['VulnerabilityDetection'],['DynamicVulnerabilityData'],,['ToolAssisted'],['OwnTool']
204,R_XMyDUO6vfwhb8CR,"['DependencyTracker', 'Licensing', 'Security']","['Name', 'Identifier', 'Version', 'CreationTime', 'Author', 'Organization', 'Dependencies']",,,"['HigherSbomQuality', 'SimplerTools']",,"['LocateSecurityIssues', 'BetterCodeReview']",['ToolAssisted'],"['PoorQualitySboms', 'SecurityRisks']","['DependencyTracking', 'VulnerabilityDetection']",['Verifiability'],,['DependencyManagement'],['Database']
219,R_1pXOYrzicaKEh9a,"['DependencyTracker', 'Language']",['Identifier'],['Tooling'],['Tooling'],['GenerateAccurateSbom'],,['LocateSecurityIssues'],"['ToolAssisted', 'ContinuousIntegration']",['PoorQualitySboms'],,"['Inconsistency', 'ToolBugs']",['GoverningBodies'],['ReadDescription'],['SBOM']
222,R_9t3tC0i9hMcu7wl,"['DependencyTracker', 'MachineReadable']","['Vulnerabilities', 'License', 'URL', 'Dependencies', 'Version', 'Identifier']",,,['LetFieldMature'],,,,['SbomGenerationSlow'],,,,['ToolAssisted'],['NotAddressed']
229,R_11db8BgtVC2jgQK,['DependencyTracker'],"['Name', 'Identifier', 'Version']",['BadAnswer'],['BadAnswer'],['BadAnswer'],['NotRecalculable'],"['Licensing', 'DependencyManagement', 'LocateSecurityIssues']",,['NotBackwardCompatible'],,,,['BadAnswer'],['PackageManager']
230,R_2ceH0MWA48ZbGWV,"['DependencyTracker', 'Versioning', 'Security']","['Vulnerabilities', 'URL', 'Ecosystem', 'Version', 'License', 'Support', 'UpdateFrequency']",,,,,,,['UnavailableInformation'],,,,"['ReadDescription', 'ToolAssisted']",['PackageManager']
235,R_2yl8CXmByyorHTE,['DependencyTracker'],['Version'],['KeepingUpdated'],['Tooling'],['BadAnswer'],,,"['ToolAssisted', 'ContinuousIntegration']",['UnavailableInformation'],,['PoorQualitySboms'],['BadAnswer'],['ToolAssisted'],['PackageManager']
236,R_OxHDuxOp8wX3Co1,['Licensing'],"['Version', 'License', 'Vulnerabilities']",,,,['ShouldNotBe'],['Licensing'],['BadAnswer'],['ContributionIssues'],,,,['CodeReview'],"['SBOM', 'PackageManager']"
237,R_3Mapsvs7nPqOx01,"['DependencyTracker', 'Versioning']",['BadAnswer'],,,,,,['Identifier'],['BadAnswer'],,,,['ToolAssisted'],['PackageManager']
239,R_2q9OkXfkfd1mKNK,"['Security', 'DependencyTracker', 'Licensing']","['Name', 'License', 'CreationTime', 'Version']",,,['LanguageSpecificTools'],"['ThirdParty', 'DeliveredWithArtifact']","['Licensing', 'LocateSecurityIssues', 'SatisfiedRequirements']",,"['EnvironmentSupport', 'ImplementationDifficulty']",['DependencyTracking'],['DifferentStandards'],,['BadAnswer'],['SBOM']
240,R_2Y2DOiMoGMWSQUx,['Security'],['BadAnswer'],,,,,,,['Tooling'],,,,['ToolAssisted'],['BadAnswer']
241,R_1KiKqNbCINEHxXY,['DependencyTracker'],"['Identifier', 'Version', 'Dependencies', 'Compiler', 'ToolSupport']",,,"['FasterGeneration', 'SbomsTooLarge']",,,,['SbomsTooLarge'],['Transparency'],['DifferentStandards'],,['ToolAssisted'],['PackageManager']
242,R_1Cxae15gxzt2pNE,"['Provenance', 'DependencyTracker', 'Licensing']","['Vulnerabilities', 'URL', 'License', 'Dependencies']",,,['FocusOnExistingTools'],,,['TiedToSoftwareVersion'],"['SeparatedFromDevelopers', 'Tooling']",,,,,
245,R_2PAxXAIEnt2gfqt,['DependencyTracker'],"['Version', 'Name', 'Description', 'URL']",,,['PatchPropagation'],"['Automation', 'DeliveredWithArtifact']",,,['NoIssues'],,"['MissingToolFeatures', 'DifferentStandards']",,['ReadDescription'],['PackageManager']
252,R_wLxhLmNWViOfUVH,"['DependencyTracker', 'RelationsInSystem']","['Version', 'Checksum', 'Dependencies', 'URL', 'License', 'Identifier', 'Author', 'Organization']",,,['BadAnswer'],,['ReproducibleStates'],['TiedToSoftwareVersion'],"['TooManyLanguagesInProject', 'SyncingSbomVersions', 'Tooling']",,"['Inconsistency', 'DifferentStandards', 'VersioningIssues']",,"['Versioning', 'ReadDescription']",['PackageManager']
255,R_3fwNV4JCR7gYKCq,['DependencyTracker'],['Dependencies'],['BadAnswer'],['BadAnswer'],['BadAnswer'],"['InRepository', 'ShouldBeSigned']",,,['NoIssues'],['Verification'],['NoIssues'],,['BadAnswer'],['SBOM']
272,R_uwgtDqxLmrDWQLf,"['DependencyTracker', 'RelationsInSystem']",['BadAnswer'],,,['IncludeReachabilityGraphs'],['ShouldBeSigned'],,,['FalsePositives'],,,,"['Versioning', 'CodeReview', 'ReadDescription']","['GitHub', 'PackageManager']"
273,R_2QyoYDd5Nw95V9i,['DependencyTracker'],"['License', 'Version', 'URL', 'Name']",,,,['InRepository'],,,"['TooManyLanguagesInProject', 'Tooling']",,,,['CodeReview'],['ManualRecording']
277,R_1lmiszxqcb8G6Br,"['Licensing', 'DependencyTracker', 'Versioning']","['Author', 'Dependencies', 'URL', 'Version', 'Name', 'License']",,,,['DeliveredWithArtifact'],['LocateSecurityIssues'],,['PoorQualitySBOMs'],,,,['ReadDescription'],"['Scanner', 'SBOM', 'ProprietaryTool']"
281,R_eG8r0YjTDRCybL3,"['Provenance', 'DependencyTracker', 'Documentation']","['Checksum', 'CreationTime', 'URL', 'Identifier', 'Organization', 'License', 'Linking', 'Author', 'Dependencies', 'Vulnerabilities', 'MinimumElements']","['TooManyStandards', 'DifficultToAuthenticateData', 'Comprehension']",['Standardization'],['SupportRelatedOrganizations'],"['ShouldBeSigned', 'BlockChain']","['ImprovedQuality', 'Efficiency']",['ToolAssisted'],['UnavailableInformation'],"['DependencyTracking', 'FastAndEasy']","['Inconsistency', 'PoorQualitySboms']","['Forum', 'GoverningBodies', 'Hack-a-thon', 'Conference']","['ToolAssisted', 'CodeReview', 'Ad-hoc']","['PackageManager', 'ProprietaryTool', 'GitHub']"
282,R_3MtHobBp4TUfCnf,"['Security', 'DependencyTracker', 'Licensing', 'ToolTracking']",['BadAnswer'],"['UseCaseSupport', 'MissingFields']",['ImproveOverTime'],"['CompatibilityBetweenTools', 'HigherSbomQuality']",,,['BadAnswer'],"['NumberOfSBOMs', 'FastReleases', 'EndUserNeedsUnclear']",,['HardToGetSBOM'],,"['SecurityExperts', 'ReadDescription']",['BadAnswer']
283,R_3DezCyLeytdTqTe,"['Versioning', 'DependencyTracker']","['Version', 'Name']",,,"['IntegrateInPackageManagers', 'Automation']",['InBinary'],"['LocateSecurityIssues', 'DependencyManagement']",,['BadAnswer'],,['PoorQualitySboms'],,['Versioning'],['PackageManager']
285,R_1rPnXt5fSoW2ckE,"['Security', 'Documentation', 'DependencyTracker']","['StandardVersion', 'URL', 'License', 'Version', 'ToolSupport', 'Name']",,,,['DistributionOutlinesAttacks'],,,['Cost'],,,,['BadAnswer'],['PackageManager']
295,R_6JS2nMbliGrg85X,['DependencyTracker'],['BadAnswer'],,,,,,,"['Tooling', 'Comprehension']",,,,,
